Accepted Symbol,Scientific Name,Common Name
JUHA,Juncus hallii Engelm.,Hall's rush
JUIN2,Juncus interior Wiegand,inland rush
JUINI,Juncus interior Wiegand var. interior ,inland rush
JUINN,Juncus interior Wiegand var. neomexicanus (Wiegand) F.J. Herm.,New Mexico rush
JULO,Juncus longistylis Torr.,longstyle rush
JULOL,Juncus longistylis Torr. var. longistylis ,longstyle rush
JUME3,Juncus mertensianus Bong.,Mertens' rush
JUNE,Juncus nevadensis S. Watson,Sierra rush
JUNEB,Juncus nevadensis S. Watson var. badius (Suksd.) C.L. Hitchc.,Sierra rush
JUNEN,Juncus nevadensis S. Watson var. nevadensis ,Sierra rush
JUNO2,Juncus nodosus L.,knotted rush
JUNON,Juncus nodosus L. var. nodosus ,knotted rush
JUPA,Juncus parryi Engelm.,Parry's rush
JURE,Juncus regelii Buchenau,Regel's rush
JUSA,Juncus saximontanus A. Nelson,Rocky Mountain rush
JUST,Juncus stygius L.,moor rush
JUSTA,Juncus stygius L. ssp. americanus (Buchenau) Hultén,moor rush
JUTR,Juncus tracyi Rydb.,Tracy's rush
JUTR4,Juncus triglumis L.,three-hulled rush
JUTW,Juncus tweedyi Rydb.,Tweedy's rush
JUVA,Juncus vaseyi Engelm.,Vasey's rush
JUHO2,Juniperus horizontalis Moench,creeping juniper
JUOS,Juniperus osteosperma (Torr.) Little,Utah juniper
JUSC2,Juniperus scopulorum Sarg.,Rocky Mountain juniper
KAMI,Kalmia microphylla (Hook.) A. Heller,alpine laurel
KEGA,Kelloggia galioides Torr.,milk kelloggia
KEUN,Kelseya uniflora (S. Watson) Rydb.,oneflower kelseya
KNAR,Knautia arvensis (L.) J.M. Coult.,field scabiosa
KOMY,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge
KOSI,Kobresia sibirica (Turcz. ex Ledeb.) Boeckeler,Siberian bog sedge
KOSI2,Kobresia simpliciuscula (Wahlenb.) Mack.,simple bog sedge
KOMA,Koeleria macrantha (Ledeb.) Schult.,prairie Junegrass
KOIS,Koenigia islandica L.,island purslane
KRLA2,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat
LABI,Lactuca biennis (Moench) Fernald,tall blue lettuce
LALU,Lactuca ludoviciana (Nutt.) Riddell,biannual lettuce
LATA,Lactuca tatarica (L.) C.A. Mey.,blue lettuce
LATAP,Lactuca tatarica (L.) C.A. Mey. var. pulchella (Pursh) Breitung,blue lettuce
LAPE3,Lallemantia peltata (L.) Fisch. & C.A. Mey.,lion's heart
LACE,Lappula cenchrusoides A. Nelson,Great Plains stickseed
LAOC3,Lappula occidentalis (S. Watson) Greene,flatspine stickseed
LAOCC,Lappula occidentalis (S. Watson) Greene var. cupulata (A. Gray) Higgins,flatspine stickseed
LAOCO,Lappula occidentalis (S. Watson) Greene var. occidentalis ,flatspine stickseed
LASQ,Lappula squarrosa (Retz.) Dumort.,European stickseed
LAOC,Larix occidentalis Nutt.,western larch
LATE6,Lathrocasis tenerrima (A. Gray) L.A. Johnson,delicate gilia
LAEU,Lathyrus eucosmus Butters & H. St. John,bush vetchling
LALA6,Lathyrus laetivirens Greene ex Rydb.,aspen pea
LALA3,Lathyrus lanszwertii Kellogg,Nevada pea
LALAL2,Lathyrus lanszwertii Kellogg var. lanszwertii ,Lanszwert's pea
LALAL3,Lathyrus lanszwertii Kellogg var. leucanthus (Rydb.) Dorn,Nevada pea
LAOC2,Lathyrus ochroleucus Hook.,cream pea
LAPO2,Lathyrus polymorphus Nutt.,manystem pea
LAPOI,Lathyrus polymorphus Nutt. ssp. incanus (J.G. Sm. & Rydb.) C.L. Hitchc.,hoary pea
LAPOP,Lathyrus polymorphus Nutt. ssp. polymorphus ,manystem pea
LAPOP2,Lathyrus polymorphus Nutt. ssp. polymorphus var. polymorphus ,manystem pea
LATH,Lavatera thuringiaca L.,tree lavatera
LEIN,Lechea intermedia Leggett ex Britton,largepod pinweed
LEINI2,Lechea intermedia Leggett ex Britton var. intermedia ,largepod pinweed
LEGL,Ledum glandulosum Nutt.,western Labrador tea
LEGI,Lemna gibba L.,swollen duckweed
LETR,Lemna trisulca L.,star duckweed
LETU2,Lemna turionifera Landolt,turion duckweed
LEAL4,Lepidium alyssoides A. Gray,mesa pepperwort
LEALA3,Lepidium alyssoides A. Gray var. alyssoides ,mesa pepperwort
LEIN5,Lepidium integrifolium Nutt.,thickleaf pepperweed
LEINI,Lepidium integrifolium Nutt. var. integrifolium ,thickleaf pepperweed
LELA2,Lepidium latifolium L.,broadleaved pepperweed
LEMO2,Lepidium montanum Nutt.,mountain pepperweed
LEMOM,Lepidium montanum Nutt. var. montanum ,mountain pepperweed
LEMOW,Lepidium montanum Nutt. var. wyomingense (C.L. Hitchc.) C.L. Hitchc.,mountain pepperweed
LEPA42,Lepidium paysonii Rollins,Payson's pepperweed
LERA2,Lepidium ramosissimum A. Nelson,manybranched pepperweed
LERAB2,Lepidium ramosissimum A. Nelson var. bourgeauanum (Thell.) Rollins,Bourgeau's pepperweed
LERAR3,Lepidium ramosissimum A. Nelson var. ramosissimum ,manybranched pepperweed
LESA2,Lepidium sativum L.,gardencress pepperweed
LEVIM,Lepidium virginicum L. var. medium (Greene) C.L. Hitchc.,intermediate pepperweed
LEVIP,Lepidium virginicum L. var. pubescens (Greene) Thell.,hairy pepperweed
LEFUF,Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow,bearded sprangletop
LENU8,Leptosiphon nuttallii (A. Gray) J.M. Porter & L.A. Johnson,Nuttall's linanthus
LENUN,Leptosiphon nuttallii (A. Gray) J.M. Porter & L.A. Johnson ssp. nuttallii ,Nuttall's linanthus
LESE17,Leptosiphon septentrionalis (H. Mason) J.M. Porter & L.A. Johnson,northern linanthus
LEAL,Lesquerella alpina (Nutt.) S. Watson,alpine bladderpod
LEALA5,Lesquerella alpina (Nutt.) S. Watson var. alpina ,alpine bladderpod
LEAR6,Lesquerella arenosa (Richardson) Rydb.,Great Plains bladderpod
LEARA2,Lesquerella arenosa (Richardson) Rydb. var. arenosa ,Great Plains bladderpod
LEARA,Lesquerella arenosa (Richardson) Rydb. var. argillosa Rollins & Shaw,Great Plains bladderpod
LECA10,Lesquerella carinata Rollins,Idaho bladderpod
LECAC5,Lesquerella carinata Rollins var. carinata ,Idaho bladderpod
LECO2,Lesquerella condensata A. Nelson,dense bladderpod
LEFR4,Lesquerella fremontii Rollins & Shaw,Fremont's bladderpod
LELU,Lesquerella ludoviciana (Nutt.) S. Watson,foothill bladderpod
LEMA4,Lesquerella macrocarpa A. Nelson,largefruit bladderpod
LEMO3,Lesquerella montana (A. Gray) S. Watson,mountain bladderpod
LEMU2,Lesquerella multiceps Maguire,manyhead bladderpod
LEPA7,Lesquerella parvula Greene,pygmy bladderpod
LEPA8,Lesquerella paysonii Rollins,Payson's bladderpod
LEPR3,Lesquerella prostrata A. Nelson,low bladderpod
LELA10,Leucanthemum lacustre (Brot.) Samp.,Portuguese daisy
LEMO4,Leucocrinum montanum Nutt. ex A. Gray,common starlily
LEKI2,Leucopoa kingii (S. Watson) W.A. Weber,spike fescue
LENE5,Lewisia nevadensis (A. Gray) B.L. Rob.,Nevada lewisia
LEPY2,Lewisia pygmaea (A. Gray) B.L. Rob.,alpine lewisia
LERE7,Lewisia rediviva Pursh,bitter root
LERER,Lewisia rediviva Pursh var. rediviva ,bitter root
LETR2,Lewisia triphylla (S. Watson) B.L. Rob.,threeleaf lewisia
LEAM,Leymus ambiguus (Vasey & Scribn.) D.R. Dewey,Colorado wildrye
LECI4,Leymus cinereus (Scribn. & Merr.) Á. Löve,basin wildrye
LEIN6,Leymus innovatus (Beal) Pilg.,downy ryegrass
LEMU11,Leymus multicaulis (Kar. & Kir.) Tzvelev,manystem wildrye
LERA5,Leymus racemosus (Lam.) Tzvelev,mammoth wildrye
LESA4,Leymus salinus (M.E. Jones) Á. Löve,saline wildrye
LESAS,Leymus salinus (M.E. Jones) Á. Löve ssp. salinus ,saline wildrye
LESI5,Leymus simplex (Scribn. & T.A. Williams) D.R. Dewey,alkali wildrye
LETR5,Leymus triticoides (Buckley) Pilg.,beardless wildrye
LILA,Liatris lancifolia (Greene) Kittell,lanceleaf blazing star
LILI,Liatris ligulistylis (A. Nelson) K. Schum.,Rocky Mountain blazing star
LIPU,Liatris punctata Hook.,dotted blazing star
LIPUP,Liatris punctata Hook. var. punctata ,dotted blazing star
LICA2,Ligusticum canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose,Canby's licorice-root
LIFI,Ligusticum filicinum S. Watson,fernleaf licorice-root
LIPO,Ligusticum porteri J.M. Coult. & Rose,Porter's licorice-root
LIPOP,Ligusticum porteri J.M. Coult. & Rose var. porteri ,Porter's licorice-root
LITE2,Ligusticum tenuifolium S. Watson,Idaho licorice-root
LIPHA,Lilium philadelphicum L. var. andinum (Nutt.) Ker Gawl.,wood lily
LIAQ,Limosella aquatica L.,water mudwort
LICA36,Linanthus caespitosus (Nutt.) J.M. Porter & L.A. Johnson,mat prickly phlox
LIPU11,Linanthus pungens (Torr.) J.M. Porter & L.A. Johnson,granite prickly phlox
LIWA4,Linanthus watsonii (A. Gray) J.M. Porter & L.A. Johnson,Watson's prickly phlox
LIDA,Linaria dalmatica (L.) Mill.,Dalmatian toadflax
LIDAD,Linaria dalmatica (L.) Mill. ssp. dalmatica ,Dalmatian toadflax
LIBO3,Linnaea borealis L.,twinflower
LIBOA,Linnaea borealis L. ssp. americana (Forbes) Hultén ex R.T. Clausen,twinflower
LIAU4,Linum australe A. Heller,southern flax
LIAUA,Linum australe A. Heller var. australe ,southern flax
LICO3,Linum compactum A. Nelson,Wyoming flax
LIKI2,Linum kingii S. Watson,King's flax
LILE3,Linum lewisii Pursh,Lewis flax
LILEL2,Linum lewisii Pursh var. lewisii ,prairie flax
LIPU4,Linum puberulum (Engelm.) A. Heller,plains flax
LIRI,Linum rigidum Pursh,stiffstem flax
LIRIR,Linum rigidum Pursh var. rigidum ,stiffstem flax
LIAR6,Lipocarpha aristulata (Coville) G. Tucker,awned halfchaff sedge
LIDR3,Lipocarpha drummondii (Nees) G. Tucker,Drummond's halfchaff sedge
LIBO4,Listera borealis Morong,northern twayblade
LICA10,Listera caurina Piper,northwestern twayblade
LICO5,Listera convallarioides (Sw.) Nutt. ex Elliott,broadlipped twayblade
LICO6,Listera cordata (L.) R. Br.,heartleaf twayblade
LICON,Listera cordata (L.) R. Br. var. nephrophylla (Rydb.) Hultén,heartleaf twayblade
LIGL2,Lithophragma glabrum Nutt.,bulbous woodland-star
LIPA5,Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray,smallflower woodland-star
LIPAP3,Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray var. parviflorum ,smallflower woodland-star
LITE4,Lithophragma tenellum Nutt.,slender woodland-star
LIIN2,Lithospermum incisum Lehm.,narrowleaf stoneseed
LIMU3,Lithospermum multiflorum Torr. ex A. Gray,manyflowered stoneseed
LIRU4,Lithospermum ruderale Douglas ex Lehm.,western stoneseed
LLSE,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily
LLSES2,Lloydia serotina (L.) Salisb. ex Rchb. var. serotina ,common alplily
LOSIL,Lobelia siphilitica L. var. ludoviciana A. DC.,great blue lobelia
LOMA,Lobularia maritima (L.) Desv.,sweet alyssum
LOSQ,Loeflingia squarrosa Nutt.,spreading pygmyleaf
LOSQA,Loeflingia squarrosa Nutt. ssp. artemisiarum Barneby & Twisselmann,spreading pygmyleaf
LOSQS,Loeflingia squarrosa Nutt. ssp. squarrosa ,spreading pygmyleaf
LOAR5,Logfia arvensis (L.) Holub,field cottonrose
LOPE2,Lolium persicum Boiss. & Hohen. ex Boiss.,Persian ryegrass
LOAM,Lomatium ambiguum (Nutt.) J.M. Coult. & Rose,Wyeth biscuitroot
LOAT,Lomatium attenuatum Evert,tapertip desertparsley
LOBI,Lomatium bicolor (S. Watson) J.M. Coult. & Rose,Wasatch desertparsley
LOBIB,Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. bicolor ,Wasatch desertparsley
LOBIL,Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. leptocarpum (Torr. & A. Gray) Schlessman,Wasatch desertparsley
LOCO4,Lomatium cous (S. Watson) J.M. Coult. & Rose,cous biscuitroot
LODI,Lomatium dissectum (Nutt.) Mathias & Constance,fernleaf biscuitroot
LODIM,Lomatium dissectum (Nutt.) Mathias & Constance var. multifidum ,carrotleaf biscuitroot
LOFO,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose,desert biscuitroot
LOFOF2,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. foeniculaceum ,desert biscuitroot
LOFOM,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. macdougalii (J.M. Coult. & Rose) W.L. Theobald,Macdougal's biscuitroot
LOGR6,Lomatium graveolens (S. Watson) Dorn & R.L. Hartm.,king desertparsley
LOGRG,Lomatium graveolens (S. Watson) Dorn & R.L. Hartm. var. graveolens ,king desertparsley
LOGR,Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose,Gray's biscuitroot
LOGRG2,Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose var. grayi ,Gray's biscuitroot
LOJU,Lomatium juniperinum (M.E. Jones) J.M. Coult. & Rose,juniper biscuitroot
LOMA3,Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,bigseed biscuitroot
LONU3,Lomatium nuttallii (A. Gray) J.F. Macbr.,Nuttall's biscuitroot
LOOR,Lomatium orientale J.M. Coult. & Rose,Northern Idaho biscuitroot
LOSI2,Lomatium simplex (Nutt.) J.F. Macbr.,Great Basin desertparsley
LOSIL2,Lomatium simplex (Nutt.) J.F. Macbr. var. leptophyllum (Hook.) Mathias,slenderleaf lomatium
LOSIS,Lomatium simplex (Nutt.) J.F. Macbr. var. simplex ,Great Basin desertparsley
LOTR2,Lomatium triternatum (Pursh) J.M. Coult. & Rose,nineleaf biscuitroot
LOTRA,Lomatium triternatum (Pursh) J.M. Coult. & Rose var. anomalum (M.E. Jones ex J.M. Coult. & Rose) Mathias,broadnineleaf biscuitroot
LOTRT,Lomatium triternatum (Pursh) J.M. Coult. & Rose var. triternatum ,nineleaf biscuitroot
LORO,Lomatogonium rotatum (L.) Fr. ex Fernald,marsh felwort
LOBE,Lonicera ×bella Zabel [morrowii × tatarica],showy fly honeysuckle
LOMI5,Lonicera ×minutiflora Zabel [morrowii × xylosteoides],honeysuckle
LOCA6,Lonicera caerulea L.,sweetberry honeysuckle
LOCAC3,Lonicera caerulea L. var. cauriana (Fernald) B. Boivin,bluefly honeysuckle
LOIN5,Lonicera involucrata (Richardson) Banks ex Spreng.,twinberry honeysuckle
LOINI,Lonicera involucrata (Richardson) Banks ex Spreng. var. involucrata ,twinberry honeysuckle
LOMO2,Lonicera morrowii A. Gray,Morrow's honeysuckle
LOTA,Lonicera tatarica L.,Tatarian honeysuckle
LOUT2,Lonicera utahensis S. Watson,Utah honeysuckle
LOUNU,Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ,American bird's-foot trefoil
LUAL5,Lupinus ×alpestris A. Nelson (pro sp.) [argenteus × caudatus],Great Basin lupine
LUAR3,Lupinus argenteus Pursh,silvery lupine
LUARA5,Lupinus argenteus Pursh ssp. argenteus ,silvery lupine
LUARA11,Lupinus argenteus Pursh ssp. argenteus var. argenteus ,silvery lupine
LUARL5,Lupinus argenteus Pursh ssp. argenteus var. laxiflorus (Douglas ex Lindl.) Dorn,silvery lupine
LUARR,Lupinus argenteus Pursh ssp. rubricaulis (Greene) Hess & D. Dunn,silvery lupine
LUARS3,Lupinus argenteus Pursh ssp. spathulatus (Rydb.) Hess & D. Dunn,silvery lupine
LUBR2,Lupinus brevicaulis S. Watson,shortstem lupine
LUBU2,Lupinus burkei S. Watson,largeleaf lupine
LUBUB,Lupinus burkei S. Watson ssp. burkei ,largeleaf lupine
LUCA3,Lupinus caespitosus Nutt.,stemless dwarf lupine
LUCAC2,Lupinus caespitosus Nutt. var. caespitosus ,stemless dwarf lupine
LUCAU,Lupinus caespitosus Nutt. var. utahensis (S. Watson) Cox,Utah lupine
LUCA,Lupinus caudatus Kellogg,tailcup lupine
LUCAA,Lupinus caudatus Kellogg ssp. argophyllus (A. Gray) L. Phillips,Kellogg's spurred lupine
LUCAC3,Lupinus caudatus Kellogg ssp. caudatus ,tailcup lupine
LUDE3,Lupinus depressus Rydb.,depressed lupine
LUEV,Lupinus evermannii Rydb.,Evermann's lupine
LULE3,Lupinus leucophyllus Douglas ex Lindl.,velvet lupine
LULEE,Lupinus leucophyllus Douglas ex Lindl. ssp. erectus (L.F. Hend.) Harmon,velvet lupine
LULEL4,Lupinus leucophyllus Douglas ex Lindl. ssp. leucophyllus ,velvet lupine
LULEL2,Lupinus leucophyllus Douglas ex Lindl. ssp. leucophyllus var. leucophyllus ,velvet lupine
LUMI3,Lupinus minimus Douglas ex Hook.,Kettle Falls lupine
LUMO4,Lupinus monticola Rydb.,mountain lupine
LUPA8,Lupinus parviflorus Nutt. ex Hook. & Arn.,lodgepole lupine
LUPAP4,Lupinus parviflorus Nutt. ex Hook. & Arn. ssp. parviflorus ,lodgepole lupine
LUPL,Lupinus plattensis S. Watson,Nebraska lupine
LUPR2,Lupinus prunophilus M.E. Jones,hairy bigleaf lupine
LUPU,Lupinus pusillus Pursh,rusty lupine
LUPUI2,Lupinus pusillus Pursh ssp. intermontanus (A. Heller) D. Dunn,Intermountain lupine
LUPUP,Lupinus pusillus Pursh ssp. pusillus ,rusty lupine
LURO,Lupinus roseolus Rydb.,rosy lupine
LUSE4,Lupinus sericeus Pursh,silky lupine
LUSES2,Lupinus sericeus Pursh ssp. sericeus ,silky lupine
LUSEE2,Lupinus sericeus Pursh ssp. sericeus var. egglestonianus C.P. Sm.,silky lupine
LUSES4,Lupinus sericeus Pursh ssp. sericeus var. sericeus ,silky lupine
LUWY,Lupinus wyethii S. Watson,Wyeth's lupine
LUWYT,Lupinus wyethii S. Watson ssp. tetonensis (E.E. Nelson) Cox & D. Dunn,Teton lupine
LUWYW,Lupinus wyethii S. Watson ssp. wyethii ,Wyeth's lupine
LUFA3,Luzula fastigiata E. Mey.,smallflowered woodrush
LUGL2,Luzula glabrata (Hoppe ex Rostk.) Desv.,smooth woodrush
LUGLH,Luzula glabrata (Hoppe ex Rostk.) Desv. var. hitchcockii (Hämet-Ahti) Dorn,Hitchcock's smooth woodrush
LUMU2,Luzula multiflora (Ehrh.) Lej.,common woodrush
LUMUF,Luzula multiflora (Ehrh.) Lej. ssp. frigida (Buchenau) Krecz.,common woodrush
LUPA4,Luzula parviflora (Ehrh.) Desv.,smallflowered woodrush
LUPI2,Luzula piperi (Coville) M.E. Jones,Piper's woodrush
LUSP4,Luzula spicata (L.) DC.,spiked woodrush
LUSU9,Luzula subcapitata (Rydb.) Harrington,Colorado woodrush
LYAN2,Lycopodium annotinum L.,stiff clubmoss
LYCO3,Lycopodium complanatum L.,groundcedar
LYDE,Lycopodium dendroideum Michx.,tree groundpine
LYAS,Lycopus asper Greene,rough bugleweed
LYGR,Lygodesmia grandiflora (Nutt.) Torr. & A. Gray,largeflower skeletonplant
LYJU,Lygodesmia juncea (Pursh) D. Don ex Hook.,rush skeletonplant
LYAM3,Lysichiton americanus Hultén & H. St. John,American skunkcabbage
LYTH2,Lysimachia thyrsiflora L.,tufted loosestrife
LYSA2,Lythrum salicaria L.,purple loosestrife
MABI,Machaeranthera bigelovii (A. Gray) Greene,Bigelow's tansyaster
MABIB,Machaeranthera bigelovii (A. Gray) Greene var. bigelovii ,Bigelow's tansyaster
MACA2,Machaeranthera canescens (Pursh) A. Gray,hoary tansyaster
MACAC,Machaeranthera canescens (Pursh) A. Gray ssp. canescens ,hoary tansyaster
MACAC3,Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. canescens ,hoary tansyaster
MACAG,Machaeranthera canescens (Pursh) A. Gray ssp. glabra (A. Gray) B.L. Turner,hoary tansyaster
MACAG2,Machaeranthera canescens (Pursh) A. Gray ssp. glabra (A. Gray) B.L. Turner var. glabra A. Gray,hoary tansyaster
MACO13,Machaeranthera coloradoensis (A. Gray) Osterh.,Colorado tansyaster
MACOC,Machaeranthera coloradoensis (A. Gray) Osterh. var. coloradoensis ,Colorado tansyaster
MAGR2,Machaeranthera grindelioides (Nutt.) Shinners,rayless tansyaster
MAGRG,Machaeranthera grindelioides (Nutt.) Shinners var. grindelioides ,rayless tansyaster
MAPI,Machaeranthera pinnatifida (Hook.) Shinners,lacy tansyaster
MAPIP,Machaeranthera pinnatifida (Hook.) Shinners ssp. pinnatifida ,lacy tansyaster
MAPIG3,Machaeranthera pinnatifida (Hook.) Shinners ssp. pinnatifida var. glaberrima (Rydb.) B.L. Turner & R.L. Hartm.,lacy tansyaster
MAPIP4,Machaeranthera pinnatifida (Hook.) Shinners ssp. pinnatifida var. pinnatifida ,lacy tansyaster
MATA2,Machaeranthera tanacetifolia (Kunth) Nees,tanseyleaf tansyaster
MAGL2,Madia glomerata Hook.,mountain tarweed
MARE11,Mahonia repens (Lindl.) G. Don,creeping barberry
MARAA,Maianthemum racemosum (L.) Link ssp. amplexicaule (Nutt.) LaFrankie,feathery false lily of the valley
MAST4,Maianthemum stellatum (L.) Link,starry false lily of the valley
MASO,Malacothrix sonchoides (Nutt.) Torr. & A. Gray,sowthistle desertdandelion
MATO2,Malacothrix torreyi A. Gray,Torrey's desertdandelion
MAAF,Malcolmia africana (L.) W.T. Aiton,African mustard
MAMO2,Malva moschata L.,musk mallow
MAPU5,Malva pusilla Sm.,low mallow
MASY,Malva sylvestris L.,high mallow
MAVE,Malva verticillata L.,cluster mallow
MAOL3,Marsilea oligospora Goodding,Pacific waterclover
MAVE2,Marsilea vestita Hook. & Grev.,hairy waterclover
MADI6,Matricaria discoidea DC.,disc mayweed
MARE6,Matricaria recutita L.,German chamomile
MESAF,Medicago sativa L. ssp. falcata (L.) Arcang.,yellow alfalfa
MEBU,Melica bulbosa Geyer ex Porter & J.M. Coult.,oniongrass
MESM,Melica smithii (Porter ex A. Gray) Vasey,Smith's melicgrass
MESP,Melica spectabilis Scribn.,purple oniongrass
MESU,Melica subulata (Griseb.) Scribn.,Alaska oniongrass
MESUP,Melica subulata (Griseb.) Scribn. var. pammelii (Scribn.) C.L. Hitchc.,Pammel's oniongrass
MESUS,Melica subulata (Griseb.) Scribn. var. subulata ,Alaska oniongrass
MEAL6,Mentzelia albicaulis (Hook.) Torr. & A. Gray,whitestem blazingstar
MEDE2,Mentzelia decapetala (Pursh ex Sims) Urb. & Gilg ex Gilg,tenpetal blazingstar
MEDI,Mentzelia dispersa S. Watson,bushy blazingstar
MEDIC2,Mentzelia dispersa S. Watson var. compacta (A. Nelson) J.F. Macbr.,Nevada blazingstar
MEDID,Mentzelia dispersa S. Watson var. dispersa ,bushy blazingstar
MEDIL,Mentzelia dispersa S. Watson var. latifolia (Rydb.) J.F. Macbr.,bushy blazingstar
MELA2,Mentzelia laevicaulis (Hook.) Torr. & A. Gray,smoothstem blazingstar
MELAL3,Mentzelia laevicaulis (Hook.) Torr. & A. Gray var. laevicaulis ,smoothstem blazingstar
MEMO4,Mentzelia montana (Davidson) Davidson,variegated-bract blazingstar
MEMU3,Mentzelia multiflora (Nutt.) A. Gray,Adonis blazingstar
MEMUM2,Mentzelia multiflora (Nutt.) A. Gray var. multiflora ,Adonis blazingstar
MENU,Mentzelia nuda (Pursh) Torr. & A. Gray,bractless blazingstar
MENUS,Mentzelia nuda (Pursh) Torr. & A. Gray var. stricta (Osterh.) Harrington,bractless blazingstar
MEOL,Mentzelia oligosperma Nutt. ex Sims,chickenthief
MEPU3,Mentzelia pumila Nutt. ex Torr. & A. Gray,dwarf mentzelia
MEPUP,Mentzelia pumila Nutt. ex Torr. & A. Gray var. pumila ,dwarf mentzelia
MERU,Mentzelia rusbyi Wooton,Rusby's blazingstar
MESI,Mentzelia sinuata (Rydb.) R.J. Hill,leechleaf blazingstar
MESP4,Mentzelia speciosa Osterh.,jeweled blazingstar
METR3,Menyanthes trifoliata L.,buckbean
MEFE,Menziesia ferruginea Sm.,rusty menziesia
MEAL7,Mertensia alpina (Torr.) G. Don,alpine bluebells
MEAR6,Mertensia arizonica Greene,aspen bluebells
MEBR,Mertensia brevistyla S. Watson,shortstyle bluebells
MECI3,Mertensia ciliata (James ex Torr.) G. Don,tall fringed bluebells
MECIC2,Mertensia ciliata (James ex Torr.) G. Don var. ciliata ,tall fringed bluebells
MEHU2,Mertensia humilis Rydb.,Rocky Mountain bluebells
MELA3,Mertensia lanceolata (Pursh) DC.,prairie bluebells
MELAC,Mertensia lanceolata (Pursh) DC. var. coriacea (A. Nelson) Higgins & S.L. Welsh,prairie bluebells
MELAL2,Mertensia lanceolata (Pursh) DC. var. lanceolata ,prairie bluebells
MELAS2,Mertensia lanceolata (Pursh) DC. var. secundorum Cockerell,prairie bluebells
MEOB,Mertensia oblongifolia (Nutt.) G. Don,oblongleaf bluebells
MINU,Microseris nutans (Hook.) Sch. Bip.,nodding microseris
MIGR,Microsteris gracilis (Hook.) Greene,slender phlox
MIGRG4,Microsteris gracilis (Hook.) Greene var. gracilis ,slender phlox
MIGRH,Microsteris gracilis (Hook.) Greene var. humilior (Hook.) Cronquist,slender phlox
MIBR3,Mimulus breviflorus Piper,shortflower monkeyflower
MIBR5,Mimulus breweri (Greene) Coville,Brewer's monkeyflower
MIFL2,Mimulus floribundus Lindl.,manyflowered monkeyflower
MIGL,Mimulus glabratus Kunth,roundleaf monkeyflower
MIGLJ,Mimulus glabratus Kunth var. jamesii (Torr. & A. Gray ex Benth.) A. Gray,James' monkeyflower
MIGU,Mimulus guttatus DC.,seep monkeyflower
MILE2,Mimulus lewisii Pursh,purple monkeyflower
MIMO3,Mimulus moschatus Douglas ex Lindl.,muskflower
MIMOM2,Mimulus moschatus Douglas ex Lindl. var. moschatus ,muskflower
MINA,Mimulus nanus Hook. & Arn.,dwarf purple monkeyflower
MINAN2,Mimulus nanus Hook. & Arn. var. nanus (A.L. Grant) D. M. Thomps.,dwarf purple monkeyflower
MIRU,Mimulus rubellus A. Gray,little redstem monkeyflower
MISU2,Mimulus suksdorfii A. Gray,Suksdorf's monkeyflower
MITI,Mimulus tilingii Regel,Tiling's monkeyflower
MITIT,Mimulus tilingii Regel var. tilingii ,Tiling's monkeyflower
MIWA2,Mimulus washingtonensis Gandog.,Washington monkeyflower
MIAU3,Minuartia austromontana S.J. Wolf & Packer,Columbian stitchwort
MIFI2,Minuartia filiorum (Maguire) McNeill,threadbranch stitchwort
MINU4,Minuartia nuttallii (Pax) Briq.,Nuttall's sandwort
MINUN2,Minuartia nuttallii (Pax) Briq. ssp. nuttallii ,Nuttall's sandwort
MIOB2,Minuartia obtusiloba (Rydb.) House,twinflower sandwort
MIRU3,Minuartia rubella (Wahlenb.) Hiern.,beautiful sandwort
MIHI,Mirabilis hirsuta (Pursh) MacMill.,hairy four o'clock
MILI3,Mirabilis linearis (Pursh) Heimerl,narrowleaf four o'clock
MINY,Mirabilis nyctaginea (Michx.) MacMill.,heartleaf four o'clock
MIPE,Mitella pentandra Hook.,fivestamen miterwort
MIST3,Mitella stauropetala Piper,smallflower miterwort
MISTS,Mitella stauropetala Piper var. stenopetala (Piper) Rosend.,drywoods miterwort
MOLA6,Moehringia lateriflora (L.) Fenzl,bluntleaf sandwort
MOFIM2,Monarda fistulosa L. ssp. fistulosa var. menthifolia (Graham) Fernald,mintleaf bergamot
MOPE,Monarda pectinata Nutt.,pony beebalm
MOGL,Monardella glauca Greene,pale monardella
MOUN2,Moneses uniflora (L.) A. Gray,single delight
